#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2014 01 01 15 00 253  4.0  7.0 99.00 99.00 99.00 999 1005.6  25.6  29.4 999.0 99.0 99.00
2014 01 01 15 06 107  1.3  5.5 99.00 99.00 99.00 999 1005.8  25.8  29.4 999.0 99.0 99.00
2014 01 01 15 12 174  1.7  4.4 99.00 99.00 99.00 999 1005.8  25.2  29.4 999.0 99.0 99.00
2014 01 01 15 18 198  1.4  2.4 99.00 99.00 99.00 999 1005.9  25.1  29.4 999.0 99.0 99.00
2014 01 01 15 24 202  2.0  2.8 99.00 99.00 99.00 999 1005.9  25.0  29.4 999.0 99.0 99.00
2014 01 01 15 30 189  1.4  2.2 99.00 99.00 99.00 999 1006.0  25.1  29.4 999.0 99.0 99.00
2014 01 01 15 36 117  2.1  2.9 99.00 99.00 99.00 999 1006.1  25.5  29.4 999.0 99.0 99.00
2014 01 01 15 42  84  1.8  4.8 99.00 99.00 99.00 999 1006.1  25.6  29.4 999.0 99.0 99.00
2014 01 01 15 48 200  1.1  1.7 99.00 99.00 99.00 999 1006.1  25.4  29.4 999.0 99.0 99.00
2014 01 01 15 54 166  2.4  3.3 99.00 99.00 99.00 999 1006.1  25.1  29.4 999.0 99.0 99.00
2014 01 01 16 00 114  3.3  6.5 99.00 99.00 99.00 999 1006.4  25.6  29.4 999.0 99.0 99.00
2014 01 01 16 06  68  7.1 13.6 99.00 99.00 99.00 999 1006.5  25.8  29.4 999.0 99.0 99.00
2014 01 01 16 12 124  7.5 10.9 99.00 99.00 99.00 999 1006.2  25.7  29.4 999.0 99.0 99.00
2014 01 01 16 18  99  6.7 10.3 99.00 99.00 99.00 999 1006.3  25.8  29.4 999.0 99.0 99.00
2014 01 01 16 24 153  3.1  9.3 99.00 99.00 99.00 999 1006.2  25.6  29.4 999.0 99.0 99.00
2014 01 01 16 30 120  6.5  9.4 99.00 99.00 99.00 999 1006.2  25.7  29.4 999.0 99.0 99.00
2014 01 01 16 36 130  7.3 12.5 99.00 99.00 99.00 999 1006.2  25.8  29.4 999.0 99.0 99.00
2014 01 01 16 42 161  2.7  6.9 99.00 99.00 99.00 999 1006.4  25.9  29.4 999.0 99.0 99.00
2014 01 01 16 48 147  4.1  7.3 99.00 99.00 99.00 999 1006.5  25.9  29.4 999.0 99.0 99.00
2014 01 01 16 54 208  2.7  4.4 99.00 99.00 99.00 999 1006.6  25.7  29.4 999.0 99.0 99.00
2014 01 01 17 00 132  4.5  5.6 99.00 99.00 99.00 999 1006.9  25.9  29.3 999.0 99.0 99.00
2014 01 01 17 06 127  1.4 10.6 99.00 99.00 99.00 999 1006.8  26.1  29.3 999.0 99.0 99.00
2014 01 01 17 12 139  3.7  6.1 99.00 99.00 99.00 999 1007.0  25.8  29.4 999.0 99.0 99.00
2014 01 01 17 18 110  7.4 13.3 99.00 99.00 99.00 999 1007.1  26.0  29.4 999.0 99.0 99.00
2014 01 01 17 24 115  6.3 10.3 99.00 99.00 99.00 999 1007.2  25.9  29.4 999.0 99.0 99.00
2014 01 01 17 30 124  6.5 16.1 99.00 99.00 99.00 999 1007.3  25.0  29.3 999.0 99.0 99.00
2014 01 01 17 36 103  6.4 15.4 99.00 99.00 99.00 999 1007.4  25.4  29.3 999.0 99.0 99.00
2014 01 01 17 42 134 10.1 17.8 99.00 99.00 99.00 999 1007.3  24.5  29.1 999.0 99.0 99.00
2014 01 01 17 48 141  9.7 17.6 99.00 99.00 99.00 999 1007.4  25.1  29.2 999.0 99.0 99.00
2014 01 01 17 54 109  9.6 26.1 99.00 99.00 99.00 999 1008.1  24.2  29.3 999.0 99.0 99.00
2014 01 01 18 00 130  6.7 17.3 99.00 99.00 99.00 999 1007.9  25.3  29.3 999.0 99.0 99.00
2014 01 01 18 06 100 11.2 15.9 99.00 99.00 99.00 999 1007.9  24.8  29.3 999.0 99.0 99.00
2014 01 01 18 12 124  9.5 18.2 99.00 99.00 99.00 999 1008.0  25.2  29.3 999.0 99.0 99.00
2014 01 01 18 18 139  8.1 17.1 99.00 99.00 99.00 999 1008.2  25.4  29.3 999.0 99.0 99.00
2014 01 01 18 24 125  6.4 13.7 99.00 99.00 99.00 999 1008.3  25.5  29.3 999.0 99.0 99.00
2014 01 01 18 30 120  8.1 13.0 99.00 99.00 99.00 999 1008.2  25.7  29.3 999.0 99.0 99.00
2014 01 01 18 36 113  7.5 15.2 99.00 99.00 99.00 999 1008.5  25.6  29.3 999.0 99.0 99.00
2014 01 01 18 42 118  8.6 12.6 99.00 99.00 99.00 999 1008.5  25.5  29.3 999.0 99.0 99.00
2014 01 01 18 48 125  6.5 13.5 99.00 99.00 99.00 999 1008.7  25.3  29.2 999.0 99.0 99.00
2014 01 01 18 54 124  7.4 10.6 99.00 99.00 99.00 999 1008.8  25.2  29.2 999.0 99.0 99.00
2014 01 01 19 00 129  7.8 13.6 99.00 99.00 99.00 999 1008.8  25.1  29.2 999.0 99.0 99.00
2014 01 01 19 06 125  8.7 11.7 99.00 99.00 99.00 999 1008.7  25.0  29.2 999.0 99.0 99.00
2014 01 01 19 12  97  6.5 13.1 99.00 99.00 99.00 999 1008.9  25.1  29.1 999.0 99.0 99.00
2014 01 01 19 18 115  5.3 12.2 99.00 99.00 99.00 999 1008.9  25.0  29.1 999.0 99.0 99.00
2014 01 01 19 24 128  4.6 11.4 99.00 99.00 99.00 999 1008.9  25.0  29.1 999.0 99.0 99.00
2014 01 01 19 30 124  6.7 10.8 99.00 99.00 99.00 999 1008.7  25.1  29.0 999.0 99.0 99.00
2014 01 01 19 36 169  5.5 15.1 99.00 99.00 99.00 999 1008.7  25.2  29.0 999.0 99.0 99.00
2014 01 01 19 42 118  6.1 13.9 99.00 99.00 99.00 999 1008.8  25.1  29.0 999.0 99.0 99.00
2014 01 01 19 48 135  5.5 15.3 99.00 99.00 99.00 999 1008.8  25.0  28.9 999.0 99.0 99.00
2014 01 01 19 54 117  5.8 15.1 99.00 99.00 99.00 999 1008.7  25.0  28.9 999.0 99.0 99.00
2014 01 01 20 00 132  6.5 10.8 99.00 99.00 99.00 999 1008.7  25.1  28.9 999.0 99.0 99.00
2014 01 01 20 06  97  5.7 10.3 99.00 99.00 99.00 999 1008.7  25.4  28.9 999.0 99.0 99.00
2014 01 01 20 12 130  5.8  9.0 99.00 99.00 99.00 999 1008.6  25.7  28.9 999.0 99.0 99.00
2014 01 01 20 18 124  6.1 14.5 99.00 99.00 99.00 999 1008.6  25.8  28.9 999.0 99.0 99.00
2014 01 01 20 24 126  5.6  8.2 99.00 99.00 99.00 999 1008.5  25.7  28.9 999.0 99.0 99.00
2014 01 01 20 30 131  3.6  7.2 99.00 99.00 99.00 999 1008.8  25.5  28.9 999.0 99.0 99.00
2014 01 01 20 36 100  4.0  9.3 99.00 99.00 99.00 999 1008.6  25.9  28.9 999.0 99.0 99.00
2014 01 01 20 42 139  4.5 12.0 99.00 99.00 99.00 999 1008.5  25.8  28.9 999.0 99.0 99.00
2014 01 01 20 48  75  6.5 13.0 99.00 99.00 99.00 999 1008.7  26.1  28.9 999.0 99.0 99.00
2014 01 01 20 54 123  6.3 15.0 99.00 99.00 99.00 999 1008.5  26.2  28.9 999.0 99.0 99.00
2014 01 01 21 00  89  7.2 13.7 99.00 99.00 99.00 999 1008.6  25.7  28.9 999.0 99.0 99.00
2014 01 01 21 06 129  8.6 12.0 99.00 99.00 99.00 999 1008.3  25.2  28.9 999.0 99.0 99.00
2014 01 01 21 12 132  5.3 10.9 99.00 99.00 99.00 999 1008.5  25.2  28.9 999.0 99.0 99.00
2014 01 01 21 18 129  7.4 10.9 99.00 99.00 99.00 999 1008.4  25.2  28.9 999.0 99.0 99.00
2014 01 01 21 24 129  7.2  9.9 99.00 99.00 99.00 999 1008.3  25.3  28.9 999.0 99.0 99.00
2014 01 01 21 30 132  6.7 11.9 99.00 99.00 99.00 999 1008.5  25.5  28.9 999.0 99.0 99.00
2014 01 01 21 36 116  9.5 14.6 99.00 99.00 99.00 999 1008.4  25.5  28.9 999.0 99.0 99.00
2014 01 01 21 42 114  9.5 13.4 99.00 99.00 99.00 999 1008.3  25.5  28.9 999.0 99.0 99.00
2014 01 01 21 48 122 11.3 15.7 99.00 99.00 99.00 999 1008.1  25.4  28.9 999.0 99.0 99.00
2014 01 01 21 54 140  6.9 12.7 99.00 99.00 99.00 999 1008.0  25.5  29.0 999.0 99.0 99.00
2014 01 01 22 00 128  7.3 10.7 99.00 99.00 99.00 999 1007.9  25.6  28.9 999.0 99.0 99.00
2014 01 01 22 06 125  4.2 18.7 99.00 99.00 99.00 999 1007.9  24.5  28.9 999.0 99.0 99.00
2014 01 01 22 12 148  6.1 12.7 99.00 99.00 99.00 999 1007.8  25.8  28.8 999.0 99.0 99.00
2014 01 01 22 18 123  4.4  9.5 99.00 99.00 99.00 999 1007.7  26.0  28.7 999.0 99.0 99.00
2014 01 01 22 24 129  6.3 10.1 99.00 99.00 99.00 999 1007.7  26.2  28.8 999.0 99.0 99.00
