month	day	year	mm precip
07	11	2010	511.5
07	12	2010	972.0
07	13	2010	375.8
07	14	2010	2723.6
07	15	2010	235.4
07	16	2010	2504.6
07	17	2010	582.7
07	18	2010	271.9
07	19	2010	1523.0
07	20	2010	8562.8
07	21	2010	25.8
07	22	2010	14007.3
07	23	2010	24.9
07	24	2010	0.0
07	25	2010	668.9
07	26	2010	1034.6
07	27	2010	3304.6
07	28	2010	78.7
07	29	2010	1230.2
07	30	2010	169.0
07	31	2010	1079.8
08	01	2010	44464.4
08	02	2010	35.8
08	03	2010	0.0
08	04	2010	0.0
08	05	2010	285.6
08	06	2010	0.5
08	07	2010	0.0
08	08	2010	1254.1
08	09	2010	2113.6
08	10	2010	1431.4
08	11	2010	2.3
08	12	2010	113.3
08	13	2010	600.6
08	14	2010	1.0
08	15	2010	4164.4
08	16	2010	418.0
08	17	2010	754.8
08	18	2010	535.5
08	19	2010	0.5
08	20	2010	1238.7
08	21	2010	2.5
08	22	2010	0.0
08	23	2010	1723.6
08	24	2010	5.1
08	25	2010	0.0
08	26	2010	165.9
08	27	2010	0.3
08	28	2010	3801.9
08	29	2010	2321.5
08	30	2010	2.0
08	31	2010	0.0
09	01	2010	0.0
09	02	2010	0.0
09	03	2010	5.9
09	04	2010	1063.2
09	05	2010	1159.8
09	06	2010	433.2
09	07	2010	934.1
09	08	2010	1281.4
09	09	2010	2863.1
09	10	2010	6609.7
09	11	2010	148.3
09	12	2010	7669.0
09	13	2010	5118.3
09	14	2010	32681.3
09	15	2010	30036.0
09	16	2010	8062.4
09	17	2010	14.2
09	18	2010	1313.6
09	19	2010	16799.3
09	20	2010	15.2
09	21	2010	0.0
09	22	2010	1442.9
09	23	2010	1.3
09	24	2010	1552.6
09	25	2010	821.1
09	26	2010	2.5
09	27	2010	1099.3
09	28	2010	1.3
09	29	2010	33231.6
09	30	2010	32.3
10	01	2010	0.0
10	02	2010	0.0
10	03	2010	8852.7
10	04	2010	11.7
10	05	2010	0.0
10	06	2010	0.0
10	07	2010	0.0
10	08	2010	1078.1
10	09	2010	3.0
10	10	2010	94.2
10	11	2010	636.2
10	12	2010	0.5
10	13	2010	4180.6
10	14	2010	6148.9
10	15	2010	323.6
10	16	2010	2.0
10	17	2010	2709.0
10	18	2010	32249.3
10	19	2010	34.0
10	20	2010	343.5
10	21	2010	0.3
10	22	2010	0.0
10	23	2010	2458.7
10	24	2010	2804.4
10	25	2010	12391.9
10	26	2010	14654.1
10	27	2010	11032.0
10	28	2010	42761.4
10	29	2010	8412.9
10	30	2010	10.9
10	31	2010	49861.3
11	01	2010	1165.3
11	02	2010	1.8
11	03	2010	0.0
11	04	2010	9608.1
11	05	2010	16.0
11	06	2010	0.0
11	07	2010	0.0
11	08	2010	0.0
11	09	2010	209.5
11	10	2010	10564.6
11	11	2010	5721.1
11	12	2010	7.4
11	13	2010	88.2
11	14	2010	12.0
11	15	2010	2861.5
11	16	2010	11582.8
11	17	2010	3648.2
11	18	2010	44206.2
11	19	2010	18933.4
11	20	2010	9838.8
11	21	2010	2383.0
11	22	2010	5914.3
11	23	2010	151.4
