,index,start,end,duration (hrs),sep from
206,184,2014-08-17 06:00:00,2014-08-17 15:15:00,9.25,LBJ PT
207,185,2014-08-23 06:30:00,2014-08-23 16:30:00,10.0,LBJ PT
208,186,2014-09-15 03:15:00,2014-09-15 13:30:00,10.25,LBJ PT
209,124,2014-09-25 01:30:00,2014-09-25 17:15:00,15.75,DAM PT
210,187,2014-10-14 09:00:00,2014-10-14 18:00:00,9.0,LBJ PT
211,188,2014-10-15 12:30:00,2014-10-16 11:15:00,22.75,LBJ PT
212,189,2014-11-01 23:00:00,2014-11-02 14:15:00,15.25,LBJ PT
213,190,2014-11-03 17:00:00,2014-11-04 16:45:00,23.75,LBJ PT
214,191,2014-11-10 04:00:00,2014-11-10 11:15:00,7.25,LBJ PT
215,192,2014-11-11 09:15:00,2014-11-11 21:15:00,12.0,LBJ PT
216,193,2014-11-12 05:45:00,2014-11-12 16:30:00,10.75,LBJ PT
217,194,2014-11-12 17:00:00,2014-11-13 06:00:00,13.0,LBJ PT
218,195,2014-11-15 23:45:00,2014-11-16 17:15:00,17.5,LBJ PT
219,196,2014-11-18 17:30:00,2014-11-19 06:15:00,12.75,LBJ PT
220,197,2014-11-19 13:45:00,2014-11-20 06:00:00,16.25,LBJ PT
221,198,2014-11-22 19:45:00,2014-11-24 00:15:00,28.5,LBJ PT
222,199,2014-11-24 21:30:00,2014-11-25 08:00:00,10.5,LBJ PT
223,200,2014-12-04 15:15:00,2014-12-06 04:30:00,37.25,LBJ PT
224,201,2014-12-09 09:00:00,2014-12-10 05:15:00,20.25,LBJ PT
225,202,2014-12-16 09:45:00,2014-12-17 05:30:00,19.75,LBJ PT
226,203,2014-12-18 08:45:00,2014-12-18 18:00:00,9.25,LBJ PT
227,204,2014-12-18 23:30:00,2014-12-19 13:00:00,13.5,LBJ PT
228,205,2014-12-19 15:00:00,2014-12-20 15:30:00,24.5,LBJ PT
229,206,2014-12-21 00:30:00,2014-12-21 09:15:00,8.75,LBJ PT
230,207,2014-12-21 10:00:00,2014-12-22 00:00:00,14.0,LBJ PT
231,208,2014-12-22 00:45:00,2014-12-22 01:45:00,1.0,LBJ PT
232,209,2014-12-22 02:15:00,2014-12-23 16:30:00,38.25,LBJ PT
233,210,2014-12-26 12:00:00,2014-12-27 03:00:00,15.0,LBJ PT
234,211,2014-12-29 04:15:00,2014-12-29 18:00:00,13.75,LBJ PT
235,212,2015-01-01 05:30:00,2015-01-02 05:45:00,24.25,LBJ PT
236,213,2015-01-02 12:15:00,2015-01-03 08:30:00,20.25,LBJ PT
237,214,2015-01-04 18:30:00,2015-01-05 17:45:00,23.25,LBJ PT
238,215,2015-01-05 18:00:00,2015-01-06 09:45:00,15.75,LBJ PT
239,216,2015-01-07 20:00:00,2015-01-08 05:45:00,9.75,LBJ PT
