Storm#,Start,End,duration(hrs),sep from,LBJ Q %,LBJ SSC %,LBJ SSC source,LBJ SSC grab #,QUARRY SSC %,QUARRY SSC source,QUARRY SSC grab #,DAM Q %,DAM SSC %,DAM SSC source,DAM SSC grab #
118,2013-09-08 17:30:00,2013-09-09 04:45:00,11.25,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
119,2013-09-18 19:30:00,2013-09-19 07:00:00,11.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
120,2013-09-21 11:30:00,2013-09-21 23:15:00,11.75,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
121,2013-10-10 14:00:00,2013-10-11 02:15:00,12.25,DAM PT,0.0,0.0,,0,0.0,,0,100.0,0.0,,0
122,2013-10-15 13:45:00,2013-10-15 20:15:00,6.5,DAM PT,0.0,0.0,,0,0.0,,0,100.0,0.0,,0
123,2013-10-19 10:15:00,2013-10-19 21:00:00,10.75,DAM PT,0.0,0.0,,0,0.0,,0,100.0,0.0,,0
124,2013-10-19 23:30:00,2013-10-20 09:00:00,9.5,DAM PT,0.0,0.0,,0,0.0,,0,100.0,0.0,,0
125,2013-10-31 05:30:00,2013-10-31 15:30:00,10.0,DAM PT,0.0,0.0,,0,0.0,,0,100.0,0.0,,0
126,2013-11-13 06:45:00,2013-11-13 21:00:00,14.25,DAM PT,0.0,0.0,,0,0.0,,0,100.0,0.0,,0
127,2013-11-24 16:00:00,2013-11-25 02:15:00,10.25,DAM PT,0.0,0.0,,0,0.0,,0,100.0,0.0,,0
128,2013-12-09 00:30:00,2013-12-09 15:45:00,15.25,DAM PT,0.0,0.0,,0,0.0,,0,100.0,0.0,,0
129,2013-12-11 00:45:00,2013-12-11 14:00:00,13.25,DAM PT,0.0,0.0,,0,0.0,,0,100.0,0.0,,0
130,2013-12-13 16:00:00,2013-12-13 21:30:00,5.5,DAM PT,0.0,0.0,,0,0.0,,0,100.0,0.0,,0
131,2014-01-01 00:45:00,2014-01-01 18:30:00,17.75,DAM PT,0.0,0.0,,0,0.0,,0,100.0,0.0,,0
132,2014-01-02 08:45:00,2014-01-02 23:00:00,14.25,DAM PT,0.0,0.0,,0,0.0,,0,100.0,0.0,,0
133,2014-01-03 18:30:00,2014-01-04 08:00:00,13.5,DAM PT,0.0,0.0,,0,0.0,,0,100.0,0.0,,0
134,2014-01-04 22:30:00,2014-01-05 05:00:00,6.5,DAM PT,0.0,0.0,,0,0.0,,0,100.0,0.0,,0
135,2014-01-06 07:15:00,2014-01-06 19:00:00,11.75,DAM PT,0.0,0.0,,0,0.0,,0,100.0,0.0,,0
136,2014-01-07 17:00:00,2014-01-08 02:15:00,9.25,DAM PT,0.0,0.0,,0,0.0,,0,100.0,0.0,,0
137,2014-01-08 08:45:00,2014-01-08 15:45:00,7.0,DAM PT,0.0,0.0,,0,0.0,,0,100.0,0.0,,0
138,2014-01-08 18:00:00,2014-01-09 02:00:00,8.0,DAM PT,0.0,0.0,,0,0.0,,0,100.0,0.0,,0
139,2014-01-09 02:30:00,2014-01-09 15:45:00,13.25,DAM PT,0.0,0.0,,0,0.0,,0,100.0,0.0,,0
140,2014-01-24 22:30:00,2014-01-25 07:00:00,8.5,DAM PT,0.0,0.0,,0,100.0,Grab Int.,26,100.0,100.0,Turb.,0
141,2014-01-26 09:30:00,2014-01-26 19:30:00,10.0,DAM PT,0.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
142,2014-02-09 06:00:00,2014-02-09 20:45:00,14.75,DAM PT,0.0,0.0,,0,0.0,,4,100.0,100.0,Turb.,0
143,2014-02-14 08:45:00,2014-02-14 23:45:00,15.0,LBJ PT,100.0,100.0,Turb.,1,100.0,Grab Int.,14,100.0,100.0,Turb.,0
144,2014-02-15 09:15:00,2014-02-15 19:15:00,10.0,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
145,2014-02-16 08:45:00,2014-02-16 16:00:00,7.25,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
146,2014-02-18 18:15:00,2014-02-19 03:00:00,8.75,LBJ PT,100.0,100.0,Turb.,2,0.0,,1,100.0,100.0,Turb.,0
147,2014-02-20 04:00:00,2014-02-20 23:15:00,19.25,LBJ PT,100.0,100.0,Turb.,1,100.0,Grab Int.,12,100.0,100.0,Turb.,0
148,2014-02-21 07:45:00,2014-02-22 05:45:00,22.0,LBJ PT,100.0,100.0,Turb.,9,100.0,Grab Int.,36,100.0,100.0,Turb.,1
149,2014-02-24 05:00:00,2014-02-24 11:45:00,6.75,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
150,2014-02-24 15:00:00,2014-02-24 19:45:00,4.75,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
151,2014-02-25 17:00:00,2014-02-26 19:30:00,26.5,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,1
152,2014-02-27 02:00:00,2014-02-27 12:15:00,10.25,LBJ PT,100.0,100.0,Turb.,1,100.0,Grab Int.,5,100.0,100.0,Turb.,1
153,2014-02-27 16:30:00,2014-02-28 08:45:00,16.25,LBJ PT,100.0,100.0,Turb.,2,100.0,Grab Int.,9,100.0,100.0,Turb.,1
154,2014-03-03 04:30:00,2014-03-03 08:45:00,4.25,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
